clueweb12-0000tw-00-00000	France	/m/0f8l9c
clueweb12-0000tw-00-00000	Tunisia	/m/07fj_
clueweb12-0000tw-00-00000	Flash Player	/m/05qh6g
clueweb12-0000tw-00-00000	WordPress	/m/0k23c
clueweb12-0000tw-00-00001	Tunisia	/m/07fj_
clueweb12-0000tw-00-00001	Flash Player	/m/05qh6g
clueweb12-0000tw-00-00001	WordPress	/m/0k23c
clueweb12-0000tw-00-00002	Tunisia	/m/07fj_
clueweb12-0000tw-00-00002	Flash Player	/m/05qh6g
clueweb12-0000tw-00-00002	WordPress	/m/0k23c
clueweb12-0000tw-00-00003	Le village	/m/06s3yz
clueweb12-0000tw-00-00003	Tunisia	/m/07fj_
clueweb12-0000tw-00-00003	Flash Player	/m/05qh6g
clueweb12-0000tw-00-00003	WordPress	/m/0k23c
clueweb12-0000tw-00-00004	Tunisia	/m/07fj_
clueweb12-0000tw-00-00004	Flash Player	/m/05qh6g
clueweb12-0000tw-00-00004	WordPress	/m/0k23c
clueweb12-0000tw-00-00005	XML-RPC	/m/0kx02
clueweb12-0000tw-00-00005	POST	/m/03hkv8q
clueweb12-0000tw-00-00007	Christ	/m/01lk9
clueweb12-0000tw-00-00007	Maggie	/m/03_wpf
clueweb12-0000tw-00-00007	Savior	/m/045m1_
clueweb12-0000tw-00-00007	Noel	/m/0pch120
clueweb12-0000tw-00-00007	Michelle	/m/0263s5_
clueweb12-0000tw-00-00007	Michelle	/m/0263s5_
clueweb12-0000tw-00-00007	Frank	/m/02_fj
clueweb12-0000tw-00-00007	Frank	/m/02_fj
clueweb12-0000tw-00-00007	Writing	/m/0j42b0k
clueweb12-0000tw-00-00007	Avg	/m/025ttn4
clueweb12-0000tw-00-00008	Christ	/m/01lk9
clueweb12-0000tw-00-00008	NKJV	/m/02nsvk
clueweb12-0000tw-00-00008	Writing	/m/0j42b0k
clueweb12-0000tw-00-00008	Avg	/m/025ttn4
clueweb12-0000tw-00-00009	Christ	/m/01lk9
clueweb12-0000tw-00-00009	Walt Disney World	/m/09b1k
